"Date"	"Time"	"Temperature"	"Pressure"	"Humidity"	"CO2.Concentration"	"Luminosity"	"UV.Intensity"	"UV.Index"	"Latitude"	"Longitude"	"Speed"	"Altitude"	"GNSS.Time"	"GNSS.Date"	"H"	"D"	"M"	"Y"	"m"	"DateTime"
2024-12-30	15H 29M 25S	22,32	92,54	71,64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	30	12	2024	29	2024-12-30 15:29:25
2024-12-30	15H 29M 32S	NA	NA	NA	NA	483	3	0,05	NA	NA	NA	NA	NA	NA	15	30	12	2024	29	2024-12-30 15:29:32
2024-12-30	15H 29M 40S	21,71	NA	81,28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	30	12	2024	29	2024-12-30 15:29:40
2024-12-23	1H 4M 57S	21,37	92,65	77,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	23	12	2024	4	2024-12-23 01:04:57
2024-12-23	1H 5M 5S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	1	23	12	2024	5	2024-12-23 01:05:05
2024-12-23	1H 5M 12S	21,5	NA	83,35	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	23	12	2024	5	2024-12-23 01:05:12
2024-12-21	4M 45S	19,9	92,53	84,97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	12	2024	4	NA
2024-12-21	4M 53S	NA	NA	NA	NA	0	1	0,01	NA	NA	NA	NA	NA	NA	0	21	12	2024	4	NA
2024-12-21	5M 1S	20,31	NA	89,12	298	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	12	2024	5	NA
2024-12-21	29M 53S	NA	NA	NA	NA	1	2	0,03	NA	NA	NA	NA	NA	NA	0	21	12	2024	29	NA
2024-12-21	30M 1S	20,4	NA	89,05	304	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	12	2024	30	NA
2024-12-21	54M 45S	19,9	92,48	85,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	12	2024	54	NA
2024-12-21	54M 53S	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	21	12	2024	54	NA
2024-12-21	55M 1S	20,34	NA	89,22	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	12	2024	55	NA
2024-12-21	1H 19M 45S	19,92	92,44	85,29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	21	12	2024	19	2024-12-21 01:19:45
2024-12-21	1H 19M 53S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	1	21	12	2024	19	2024-12-21 01:19:53
2024-12-21	1H 20M 1S	20,38	NA	89,34	308	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	21	12	2024	20	2024-12-21 01:20:01
