"Humidity"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
71,64	2024-12-30	2024-12-30 15:29:25	15H 29M 25S	30	12	2024	29
81,28	2024-12-30	2024-12-30 15:29:40	15H 29M 40S	30	12	2024	29
77,4	2024-12-23	2024-12-23 01:04:57	1H 4M 57S	23	12	2024	4
83,35	2024-12-23	2024-12-23 01:05:12	1H 5M 12S	23	12	2024	5
85,29	2024-12-21	2024-12-21 01:19:45	1H 19M 45S	21	12	2024	19
89,34	2024-12-21	2024-12-21 01:20:01	1H 20M 1S	21	12	2024	20
85,43	2024-12-21	2024-12-21 02:09:45	2H 9M 45S	21	12	2024	9
89,38	2024-12-21	2024-12-21 02:10:00	2H 10M 0S	21	12	2024	10
85,34	2024-12-21	2024-12-21 02:34:45	2H 34M 45S	21	12	2024	34
89,42	2024-12-21	2024-12-21 02:35:00	2H 35M 0S	21	12	2024	35
85,47	2024-12-21	2024-12-21 02:59:44	2H 59M 44S	21	12	2024	59
89,5	2024-12-21	2024-12-21 03:00:00	3H 0M 0S	21	12	2024	0
85,72	2024-12-21	2024-12-21 03:24:44	3H 24M 44S	21	12	2024	24
89,66	2024-12-21	2024-12-21 03:25:00	3H 25M 0S	21	12	2024	25
85,88	2024-12-21	2024-12-21 03:49:44	3H 49M 44S	21	12	2024	49
89,9	2024-12-21	2024-12-21 03:50:00	3H 50M 0S	21	12	2024	50
86,02	2024-12-21	2024-12-21 04:39:44	4H 39M 44S	21	12	2024	39
90,04	2024-12-21	2024-12-21 04:39:59	4H 39M 59S	21	12	2024	39
86,02	2024-12-21	2024-12-21 05:04:44	5H 4M 44S	21	12	2024	4
89,95	2024-12-21	2024-12-21 05:04:59	5H 4M 59S	21	12	2024	4
85,99	2024-12-21	2024-12-21 05:29:44	5H 29M 44S	21	12	2024	29
89,88	2024-12-21	2024-12-21 05:29:59	5H 29M 59S	21	12	2024	29
85,81	2024-12-21	2024-12-21 05:54:44	5H 54M 44S	21	12	2024	54
89,82	2024-12-21	2024-12-21 05:54:59	5H 54M 59S	21	12	2024	54
84,96	2024-12-21	2024-12-21 06:19:43	6H 19M 43S	21	12	2024	19
89,46	2024-12-21	2024-12-21 06:19:59	6H 19M 59S	21	12	2024	19
83,86	2024-12-21	2024-12-21 07:09:43	7H 9M 43S	21	12	2024	9
88,68	2024-12-21	2024-12-21 07:09:59	7H 9M 59S	21	12	2024	9
88,68	2024-12-21	2024-12-21 07:09:59	7H 9M 59S	21	12	2024	9
82,64	2024-12-21	2024-12-21 07:34:43	7H 34M 43S	21	12	2024	34
88,19	2024-12-21	2024-12-21 07:34:59	7H 34M 59S	21	12	2024	34
77,78	2024-12-21	2024-12-21 07:59:43	7H 59M 43S	21	12	2024	59
85,45	2024-12-21	2024-12-21 07:59:59	7H 59M 59S	21	12	2024	59
41,65	2024-12-21	2024-12-21 08:24:43	8H 24M 43S	21	12	2024	24
58,39	2024-12-21	2024-12-21 08:24:58	8H 24M 58S	21	12	2024	24
50,22	2024-12-21	2024-12-21 08:49:43	8H 49M 43S	21	12	2024	49
63,37	2024-12-21	2024-12-21 08:49:59	8H 49M 59S	21	12	2024	49
52,26	2024-12-21	2024-12-21 09:39:42	9H 39M 42S	21	12	2024	39
62,71	2024-12-21	2024-12-21 09:39:58	9H 39M 58S	21	12	2024	39
51,43	2024-12-21	2024-12-21 10:04:42	10H 4M 42S	21	12	2024	4
60,53	2024-12-21	2024-12-21 10:04:58	10H 4M 58S	21	12	2024	4
54,92	2024-12-21	2024-12-21 10:29:42	10H 29M 42S	21	12	2024	29
62,75	2024-12-21	2024-12-21 10:29:58	10H 29M 58S	21	12	2024	29
56,31	2024-12-21	2024-12-21 10:54:42	10H 54M 42S	21	12	2024	54
64,04	2024-12-21	2024-12-21 10:54:58	10H 54M 58S	21	12	2024	54
45,8	2024-12-21	2024-12-21 11:19:42	11H 19M 42S	21	12	2024	19
54,06	2024-12-21	2024-12-21 11:19:58	11H 19M 58S	21	12	2024	19
46,09	2024-12-21	2024-12-21 12:09:42	12H 9M 42S	21	12	2024	9
54,51	2024-12-21	2024-12-21 12:09:58	12H 9M 58S	21	12	2024	9
40,62	2024-12-21	2024-12-21 12:34:42	12H 34M 42S	21	12	2024	34
