"CO2.Concentration"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
0	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
0	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
295	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
295	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
295	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
323	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
323	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
323	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
335	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
335	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
336	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
336	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
336	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
336	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
336	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
336	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
342	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
342	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
342	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
354	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
354	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
354	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
348	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
348	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
345	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
345	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
345	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
351	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
351	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
351	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
339	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
339	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
339	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
334	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
334	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
334	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
320	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
320	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
320	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
320	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
320	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
320	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
318	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
318	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
318	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
324	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
324	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
324	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
330	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
330	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
330	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
316	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
316	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
316	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
