"Temperature"	"Pressure"	"Humidity"	"CO2.Concentration"	"Luminosity"	"UV.Intensity"	"UV.Index"	"Latitude"	"Longitude"	"Speed"	"Altitude"	"GNSS.Time"	"GNSS.Date"	"Date"	"Time"	"H"	"D"	"M"	"Y"	"m"	"DateTime"
20,74	92,75	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 46S	18	29	12	2024	24	2024-12-29 18:24:46
20,74	92,75	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 46S	18	29	12	2024	24	2024-12-29 18:24:46
20,74	92,75	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 46S	18	29	12	2024	24	2024-12-29 18:24:46
NA	NA	NA	NA	4	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 54S	18	29	12	2024	24	2024-12-29 18:24:54
NA	NA	NA	NA	4	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 54S	18	29	12	2024	24	2024-12-29 18:24:54
NA	NA	NA	NA	4	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 24M 54S	18	29	12	2024	24	2024-12-29 18:24:54
20,11	NA	96,31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 25M 1S	18	29	12	2024	25	2024-12-29 18:25:01
20,11	NA	96,31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 25M 1S	18	29	12	2024	25	2024-12-29 18:25:01
21,4	92,81	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 46S	18	29	12	2024	54	2024-12-29 18:54:46
21,4	92,81	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 46S	18	29	12	2024	54	2024-12-29 18:54:46
21,4	92,81	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 46S	18	29	12	2024	54	2024-12-29 18:54:46
NA	NA	NA	NA	0	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 54S	18	29	12	2024	54	2024-12-29 18:54:54
NA	NA	NA	NA	0	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 54S	18	29	12	2024	54	2024-12-29 18:54:54
NA	NA	NA	NA	0	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-29	18H 54M 54S	18	29	12	2024	54	2024-12-29 18:54:54
21,04	NA	94,74	295	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 55M 1S	18	29	12	2024	55	2024-12-29 18:55:01
21,04	NA	94,74	295	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 55M 1S	18	29	12	2024	55	2024-12-29 18:55:01
21,04	NA	94,74	295	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-29	18H 55M 1S	18	29	12	2024	55	2024-12-29 18:55:01
19,84	92,58	97,65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 28S	0	27	12	2024	29	NA
19,84	92,58	97,65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 28S	0	27	12	2024	29	NA
19,84	92,58	97,65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 28S	0	27	12	2024	29	NA
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	29M 35S	0	27	12	2024	29	NA
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	29M 35S	0	27	12	2024	29	NA
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	29M 35S	0	27	12	2024	29	NA
19,52	NA	96,09	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 43S	0	27	12	2024	29	NA
19,52	NA	96,09	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 43S	0	27	12	2024	29	NA
19,52	NA	96,09	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	29M 43S	0	27	12	2024	29	NA
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	59M 35S	0	27	12	2024	59	NA
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	59M 35S	0	27	12	2024	59	NA
19,54	NA	96,01	329	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	59M 43S	0	27	12	2024	59	NA
19,54	NA	96,01	329	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	59M 43S	0	27	12	2024	59	NA
20	92,55	97,82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 27S	1	27	12	2024	29	2024-12-27 01:29:27
20	92,55	97,82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 27S	1	27	12	2024	29	2024-12-27 01:29:27
20	92,55	97,82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 27S	1	27	12	2024	29	2024-12-27 01:29:27
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 35S	1	27	12	2024	29	2024-12-27 01:29:35
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 35S	1	27	12	2024	29	2024-12-27 01:29:35
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 35S	1	27	12	2024	29	2024-12-27 01:29:35
19,68	NA	96,1	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 43S	1	27	12	2024	29	2024-12-27 01:29:43
19,68	NA	96,1	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 43S	1	27	12	2024	29	2024-12-27 01:29:43
19,68	NA	96,1	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 29M 43S	1	27	12	2024	29	2024-12-27 01:29:43
20,02	92,52	97,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 27S	1	27	12	2024	59	2024-12-27 01:59:27
20,02	92,52	97,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 27S	1	27	12	2024	59	2024-12-27 01:59:27
20,02	92,52	97,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 27S	1	27	12	2024	59	2024-12-27 01:59:27
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 35S	1	27	12	2024	59	2024-12-27 01:59:35
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 35S	1	27	12	2024	59	2024-12-27 01:59:35
19,68	NA	96,21	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 43S	1	27	12	2024	59	2024-12-27 01:59:43
19,68	NA	96,21	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	1H 59M 43S	1	27	12	2024	59	2024-12-27 01:59:43
20,04	92,52	97,93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 27S	2	27	12	2024	29	2024-12-27 02:29:27
20,04	92,52	97,93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 27S	2	27	12	2024	29	2024-12-27 02:29:27
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 35S	2	27	12	2024	29	2024-12-27 02:29:35
20,04	92,52	97,93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 27S	2	27	12	2024	29	2024-12-27 02:29:27
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 35S	2	27	12	2024	29	2024-12-27 02:29:35
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 35S	2	27	12	2024	29	2024-12-27 02:29:35
19,71	NA	96,25	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 43S	2	27	12	2024	29	2024-12-27 02:29:43
19,71	NA	96,25	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 43S	2	27	12	2024	29	2024-12-27 02:29:43
19,71	NA	96,25	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 29M 43S	2	27	12	2024	29	2024-12-27 02:29:43
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 34S	2	27	12	2024	59	2024-12-27 02:59:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 34S	2	27	12	2024	59	2024-12-27 02:59:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 34S	2	27	12	2024	59	2024-12-27 02:59:34
