"Temperature"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
20,74	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
20,74	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
20,74	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
20,11	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
20,11	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
21,4	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
21,4	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
21,4	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
21,04	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
21,04	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
21,04	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
20	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
20	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
20	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
19,68	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
19,68	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
19,68	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
20,02	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
20,02	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
20,02	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
19,68	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
19,68	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
20,04	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
20,04	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
20,04	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
19,71	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
19,71	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
19,71	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
19,77	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
19,77	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
19,77	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
20,21	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
20,21	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
20,21	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
19,99	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
19,99	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
19,99	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
20,18	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
20,18	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
20,18	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
19,91	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
19,91	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
19,91	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
20,21	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
20,21	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
20,21	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
19,94	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
19,94	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
20,25	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
20,25	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
20,25	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
20,37	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
20,37	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
20,37	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
20,19	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
20,19	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
20,19	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
20,22	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
20,22	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
20,22	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
20,63	2024-12-27	2024-12-27 06:29:26	6H 29M 26S	27	12	2024	29
20,63	2024-12-27	2024-12-27 06:29:26	6H 29M 26S	27	12	2024	29
20,39	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
20,39	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
20,39	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
20,67	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
20,67	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
20,67	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
20,79	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
20,79	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
20,79	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
21,03	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
20,79	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
20,79	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
21,03	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
21,03	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
20,79	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
21,55	2024-12-27	2024-12-27 07:59:25	7H 59M 25S	27	12	2024	59
21,3	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
21,3	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
21,3	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
21,75	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
21,75	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
21,75	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
21,52	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
21,52	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
21,52	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
22,11	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
22,11	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
22,11	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
21,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
21,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
21,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
22,13	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
22,13	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
22,13	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
21,89	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
21,89	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
21,89	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
22,32	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
22,32	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
22,32	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
22,09	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
22,09	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
22,09	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
21,95	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
21,95	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
21,95	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
23,22	2024-12-27	2024-12-27 10:59:25	10H 59M 25S	27	12	2024	59
23,22	2024-12-27	2024-12-27 10:59:25	10H 59M 25S	27	12	2024	59
22,91	2024-12-27	2024-12-27 10:59:40	10H 59M 40S	27	12	2024	59
22,91	2024-12-27	2024-12-27 10:59:40	10H 59M 40S	27	12	2024	59
23,36	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
23,36	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
23,36	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
22,97	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
22,97	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
22,97	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
23,21	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
23,21	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
23,21	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
22,89	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
22,89	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
22,89	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
24,24	2024-12-27	2024-12-27 12:29:24	12H 29M 24S	27	12	2024	29
24,24	2024-12-27	2024-12-27 12:29:24	12H 29M 24S	27	12	2024	29
23,8	2024-12-27	2024-12-27 12:29:40	12H 29M 40S	27	12	2024	29
23,8	2024-12-27	2024-12-27 12:29:40	12H 29M 40S	27	12	2024	29
24,21	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
24,21	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
24,21	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
23,63	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
23,63	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
23,63	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
24,71	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
24,71	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
24,71	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
24,21	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
24,21	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
24,21	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
24,79	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
24,79	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
24,79	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
24,27	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
24,27	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
24,27	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
23,72	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
23,72	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
23,72	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
23,36	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
23,36	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
23,36	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
22,95	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
22,95	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
22,95	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
22,96	2024-12-27	2024-12-27 16:29:23	16H 29M 23S	27	12	2024	29
22,96	2024-12-27	2024-12-27 16:29:23	16H 29M 23S	27	12	2024	29
22,6	2024-12-27	2024-12-27 16:29:39	16H 29M 39S	27	12	2024	29
22,6	2024-12-27	2024-12-27 16:29:39	16H 29M 39S	27	12	2024	29
23,1	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
23,1	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
23,1	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
22,81	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
22,81	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
22,81	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
23,16	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
23,16	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
23,16	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
22,82	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
22,82	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
22,82	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
22,87	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
22,87	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
22,87	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
22,88	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
22,88	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
22,88	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
22,7	2024-12-27	2024-12-27 19:29:22	19H 29M 22S	27	12	2024	29
22,7	2024-12-27	2024-12-27 19:29:22	19H 29M 22S	27	12	2024	29
20,61	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
20,61	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
20,61	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
20,61	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
20,61	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
20,61	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
20,18	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
20,18	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
20,18	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
20,63	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
20,63	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
20,63	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
20,29	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
20,29	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
20,29	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
20,59	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
20,59	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
20,59	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
20,29	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
20,29	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
20,29	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
20,57	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
20,57	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
20,57	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
20,22	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
20,22	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
20,22	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
20,55	2024-12-26	2024-12-26 03:29:34	3H 29M 34S	26	12	2024	29
20,55	2024-12-26	2024-12-26 03:29:34	3H 29M 34S	26	12	2024	29
20,21	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
20,21	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
20,21	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
20,62	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
20,62	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
20,62	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
20,32	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
20,32	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
20,32	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
20,63	2024-12-26	2024-12-26 04:29:33	4H 29M 33S	26	12	2024	29
20,63	2024-12-26	2024-12-26 04:29:41	4H 29M 41S	26	12	2024	29
20,28	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
20,28	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
20,28	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
20,7	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
20,7	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
20,7	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
20,4	2024-12-26	2024-12-26 04:59:49	4H 59M 49S	26	12	2024	59
20,4	2024-12-26	2024-12-26 04:59:49	4H 59M 49S	26	12	2024	59
20,8	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
20,8	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
20,8	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
