"Humidity"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
100	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
100	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
100	2024-12-29	2024-12-29 18:24:46	18H 24M 46S	29	12	2024	24
96,31	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
96,31	2024-12-29	2024-12-29 18:25:01	18H 25M 1S	29	12	2024	25
100	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
100	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
100	2024-12-29	2024-12-29 18:54:46	18H 54M 46S	29	12	2024	54
94,74	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
94,74	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
94,74	2024-12-29	2024-12-29 18:55:01	18H 55M 1S	29	12	2024	55
97,82	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
97,82	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
97,82	2024-12-27	2024-12-27 01:29:27	1H 29M 27S	27	12	2024	29
96,1	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
96,1	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
96,1	2024-12-27	2024-12-27 01:29:43	1H 29M 43S	27	12	2024	29
97,91	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
97,91	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
97,91	2024-12-27	2024-12-27 01:59:27	1H 59M 27S	27	12	2024	59
96,21	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
96,21	2024-12-27	2024-12-27 01:59:43	1H 59M 43S	27	12	2024	59
97,93	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
97,93	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
97,93	2024-12-27	2024-12-27 02:29:27	2H 29M 27S	27	12	2024	29
96,25	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
